"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-2"	"fasha:sha"	"71-C-30-1"	"71"	"C"	"30"	"1"	1	"Testing"	1	1	"8"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"za:ha:ha"	"7-J-10-4"	"7"	"J"	"10"	"4"	2	"Testing"	1	2	"8"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"sahaha"	"100-J-10-3"	"100"	"J"	"10"	"3"	3	"Testing"	1	3	"8"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"za:ha:za"	"128-C-30-3"	"128"	"C"	"30"	"3"	4	"Testing"	1	4	"8"	"C2"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"sa:saza"	"102-J-10-4"	"102"	"J"	"10"	"4"	5	"Testing"	1	5	"8"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"va:shasha"	"71-J-0-1"	"71"	"J"	"0"	"1"	6	"Testing"	1	6	"8"	"C1"	"Right"	"37"	"39"	"J"	"37"
"3-2"	"fa:fa:va"	"139-C-20-2"	"139"	"C"	"20"	"2"	7	"Testing"	1	7	"8"	"C1"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"zasaha"	"111-C-30-3"	"111"	"C"	"30"	"3"	8	"Testing"	1	8	"8"	"C2"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"sa:sa:za"	"7-C-20-4"	"7"	"C"	"20"	"4"	9	"Testing"	1	9	"8"	"C2"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"saha:ha"	"100-C-30-3"	"100"	"C"	"30"	"3"	10	"Testing"	1	10	"8"	"C2"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"fashava"	"85-J-0-2"	"85"	"J"	"0"	"2"	11	"Testing"	1	11	"8"	"C1"	"Up"	"40"	"38"	"J"	"40"
"3-2"	"va:sha:va"	"57-C-30-1"	"57"	"C"	"30"	"1"	12	"Testing"	1	12	"8"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-2"	"za:saza"	"102-C-20-4"	"102"	"C"	"20"	"4"	13	"Testing"	1	13	"8"	"C2"	"Right"	"37"	"39"	"J"	"39"
"3-2"	"fa:sha:va"	"118-C-20-2"	"118"	"C"	"20"	"2"	14	"Testing"	1	14	"8"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"fa:fasha"	"93-C-30-1"	"93"	"C"	"30"	"1"	15	"Testing"	1	15	"8"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"fa:fa:sha"	"118-J-0-2"	"118"	"J"	"0"	"2"	16	"Testing"	1	16	"8"	"C1"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"sa:sa:ha"	"87-J-10-4"	"87"	"J"	"10"	"4"	17	"Testing"	1	17	"8"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"vashava"	"139-J-0-2"	"139"	"J"	"0"	"2"	18	"Testing"	1	18	"8"	"C1"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"zaha:za"	"111-J-10-3"	"111"	"J"	"10"	"3"	19	"Testing"	1	19	"8"	"C2"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"va:sha:sha"	"85-C-20-2"	"85"	"C"	"20"	"2"	20	"Testing"	1	20	"8"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-2"	"sa:saha"	"128-J-10-3"	"128"	"J"	"10"	"3"	21	"Testing"	1	21	"8"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-2"	"vashasha"	"57-J-0-1"	"57"	"J"	"0"	"1"	22	"Testing"	1	22	"8"	"C1"	"Down"	"38"	"40"	"J"	"38"
"3-2"	"fa:shasha"	"93-J-0-1"	"93"	"J"	"0"	"1"	23	"Testing"	1	23	"8"	"C1"	"Left"	"39"	"37"	"J"	"39"
