"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-5"	"fa:fava"	"111-J-10-3"	"111"	"J"	"10"	"3"	1	"Testing"	1	1	"9"	"C1"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"za:sa:ha"	"85-J-0-2"	"85"	"J"	"0"	"2"	2	"Testing"	1	2	"9"	"C2"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"pa:ka:ta"	"27-C-30-1"	"27"	"C"	"30"	"1"	3	"Testing"	1	3	"9"	"P"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"na:mana"	"102-J-10-4"	"102"	"J"	"10"	"4"	4	"Testing"	1	4	"9"	"S"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"fa:shasha"	"74-C-20-4"	"74"	"C"	"20"	"4"	5	"Testing"	1	5	"9"	"C1"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"zasa:za"	"111-C-30-3"	"111"	"C"	"30"	"3"	6	"Testing"	1	6	"9"	"C2"	"Right"	"37"	"39"	"C"	"37"
"1-5"	"ta:kata"	"44-C-30-3"	"44"	"C"	"30"	"3"	7	"Testing"	1	7	"9"	"P"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"sa:sa:ha"	"94-J-0-2"	"94"	"J"	"0"	"2"	8	"Testing"	1	8	"9"	"C2"	"Up"	"40"	"38"	"C"	"38"
"1-5"	"ma:ma:na"	"85-C-20-2"	"85"	"C"	"20"	"2"	9	"Testing"	1	9	"9"	"S"	"Right"	"37"	"39"	"C"	"37"
"1-5"	"zahaha"	"94-C-20-2"	"94"	"C"	"20"	"2"	10	"Testing"	1	10	"9"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"pa:kaka"	"7-J-10-4"	"7"	"J"	"10"	"4"	11	"Testing"	1	11	"9"	"P"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"zasaza"	"44-J-10-3"	"44"	"J"	"10"	"3"	12	"Testing"	1	12	"9"	"C2"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"ta:pa:ka"	"102-C-20-4"	"102"	"C"	"20"	"4"	13	"Testing"	1	13	"9"	"P"	"Right"	"37"	"39"	"C"	"37"
"1-5"	"mala:la"	"118-C-20-2"	"118"	"C"	"20"	"2"	14	"Testing"	1	14	"9"	"S"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"vafasha"	"71-C-30-1"	"71"	"C"	"30"	"1"	15	"Testing"	1	15	"9"	"C1"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"zahaza"	"74-J-10-4"	"74"	"J"	"10"	"4"	16	"Testing"	1	16	"9"	"C2"	"Left"	"39"	"37"	"C"	"37"
"1-5"	"fasha:sha"	"71-J-0-1"	"71"	"J"	"0"	"1"	17	"Testing"	1	17	"9"	"C1"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"tapa:ta"	"86-C-30-1"	"86"	"C"	"30"	"1"	18	"Testing"	1	18	"9"	"P"	"Right"	"37"	"39"	"C"	"37"
"1-5"	"sa:saha"	"86-J-0-1"	"86"	"J"	"0"	"1"	19	"Testing"	1	19	"9"	"C2"	"Up"	"40"	"38"	"C"	"38"
"1-5"	"zasa:ha"	"100-J-10-3"	"100"	"J"	"10"	"3"	20	"Testing"	1	20	"9"	"C2"	"Up"	"40"	"38"	"C"	"38"
"1-5"	"pakata"	"7-C-20-4"	"7"	"C"	"20"	"4"	21	"Testing"	1	21	"9"	"P"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"na:la:na"	"118-J-0-2"	"118"	"J"	"0"	"2"	22	"Testing"	1	22	"9"	"S"	"Left"	"39"	"37"	"C"	"37"
